tweet_id,tweet_text,label,tvt,cv_fold,tt,tvt2,tvt2_1,tvt2_2,tvt2_3
731166399389962242,🔥ca kkk grand wizard 🔥 endorses @hillaryclinton #neverhillary #trump2016 URL,unverified,training,1,training,training,validation,training,training
714598641827246081,an open letter to trump voters from his top strategist-turned-defector URL via @xojanedotcom,unverified,training,1,test,training,testting,training,training
691809004356501505,america is a nation of second chances —@potus on new reforms to solitary confinement: URL URL,non-rumor,training,2,training,validation,validation,validation,testting
693204708933160960,"brandon marshall visits and offers advice, support to brother of fallen hero zaevion dobson: URL URL",non-rumor,training,1,training,testting,testting,training,training
551099691702956032,rip elly may clampett: so sad to learn #beverlyhillbillies star donna douglas has passed away. URL,true,training,3,training,validation,training,validation,training
767223774072676354,"former 3 doors down guitarist matt roberts has died at age 38, according to his father. URL URL",non-rumor,training,3,training,training,validation,training,training
715515982584881152,craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - URL URL,unverified,training,2,training,training,training,training,training
514106273852174337,just in: missing afghan soldiers found trying to enter canada near niagara falls URL URL,true,validation,1,training,training,validation,training,training
500319801344929795,"the day #ferguson cops told a dirty, bloody lie (via @thedailybeast): URL URL",unverified,test,2,test,training,training,training,training
495366618818830336,#riphulkhogan my heart is ripping like your shirt. wwe'll miss you.,false,test,2,training,training,validation,training,training
532206910796468224,a chick-fil-a manager allegedly banned this hilarious list of slang words URL URL,false,training,1,training,validation,validation,training,validation
560187970389819392,islamic tribunal using sharia law in texas has been confirmed URL @breitbartnews #a4a URL,false,training,3,training,training,training,training,training
531568534066057217,alpha male rt @marc_leibowitz: photo of vladimir putin's motorcade. posted without comment. URL,false,test,0,training,training,training,validation,training
489829414704648192,เผยกบฏยูเครนอาจเข้าใจผิดคิดว่า #mh17 เป็นเครื่องบินทหารยูเครนรุกล้ำ / 14 ก.ค.ก็เพิ่งยิงตกไปลำ URL URL,false,test,3,training,validation,validation,training,training
524925730053181440,"shooter still on loose after uniformed soldier shot at #ottawa's war memorial, across road from parliament. mp's being taken out of offices.",unverified,training,3,training,training,training,training,training
766989078294306816,report: more american fifth-graders taking gap year to unwind before middle school URL URL,non-rumor,training,0,training,training,training,validation,validation
499530130487017472,a woman in #ferguson was shot in head last night and released this selfie. conflicting reports of how it happened: URL,unverified,training,3,test,training,training,training,training
520284654755381249,"report: amazon plans to open its first physical store, in new york URL",false,validation,2,test,training,testting,training,validation
767515401831997440,"‘keep it,’ says simone biles throwing gold medal to adoring men's gymnastics team URL #rio2016 URL",non-rumor,training,1,test,training,training,training,training
565999191982616577,"let's let our friends know that a state senator in south carolina stated ""women are a lesser cut of meat"" #chewonthis URL",true,training,1,training,validation,training,training,training
554343513887105024,a traditional beer that authorities believe was poisoned with crocodile bile has killed 56 people in mozambique: URL,false,test,2,training,training,validation,validation,validation
767715489485205505,nothing to see here. just nuggets forward wilson chandler catching a 350-pound fish: URL URL,non-rumor,validation,3,test,validation,training,training,testting
553467311261503488,reports of shooting at dammartin en goele on route n2 north east of paris - french media says car chase under way,unverified,training,0,training,training,training,training,training
553960736964476928,"police chief helric fredou, one of the police officers investigating the case #charliehebdo, commits suicide. URL",false,training,3,training,training,training,training,training
500303431928922113,"reminder: forget the robbery, forget the minor looting. nothing justifies militarized police pointing sniper rifles at journalists #ferguson",unverified,training,2,training,validation,training,training,training
538900739880665088,afghan woman picked up her dead son's gun and helped kill 25 taliban militants to save village URL URL,unverified,training,2,training,training,validation,training,testting
516420964834611201,"from #ferguson to #hongkong. #hongkongdemocracy protests adopt ""hands up, don't shoot"" URL",unverified,training,3,training,training,validation,training,testting
80080680482123777,seriously? racist mcdonald’s sign is obviously a hoax - URL,false,test,3,training,training,testting,validation,validation
687945926774800385,"several in critical condition - one in a coma - after clinical trial of new drug in france, health minister says URL",non-rumor,training,1,training,training,validation,training,training
436089462326849536,omfg read this its my personal experience with talking angela URL,false,test,1,training,testting,testting,training,validation
568589712644026368,why did macklemore delete this tweet!? #macklemorejoinedisis URL,false,validation,1,training,testting,training,testting,training
767360696761905153,this is @jackalltimelow asking you to watch the #vma #weekendbrunch that's starting right now. 🙌 URL,non-rumor,training,3,training,training,training,training,training
407231591191035904,"paul walker died too fast, i'm furious.. :/",true,training,0,test,training,training,training,testting
505369323922522113,tupac was hiding for 18 years 😳 URL,false,training,1,training,training,training,training,training
576513463738109954,putin reappears on tv amid claims he is unwell and under threat of coup URL URL,unverified,training,1,training,training,training,training,training
689214940679409664,#eagles co-founder glenn frey has died aged 67,non-rumor,training,3,training,training,training,training,testting
522782267215982592,a passenger at dulles international airport has been spotted wearing a homemade hazmat suit (via @dailycaller) #ebola URL,unverified,training,2,training,training,training,validation,training
387233034350514176,"if amber alert really had to shutdown b/c of lack of funds, as obama said, why did it go back up today after bad pr? #governmentshutdown",false,test,2,test,training,training,training,validation
693554344298467328,how to raise a creative child step one: back off URL URL,non-rumor,validation,3,test,training,training,validation,training
706665777332621314,".@berniesanders: in 2016, ""we will end institutional racism and reform a broken criminal justice system.” #demdebate",unverified,test,1,training,training,training,training,training
531530591427391488,iraqi officials say isis leader wounded in airstrike URL,unverified,test,2,training,training,training,training,training
532199717594497024,no baes allowed: a chick-fil-a manager bans 22 hip words URL URL,false,training,3,training,training,validation,training,training
503498696273965056,"“key [foley beheading] suspect is abdel majed bary, 23, who left his $1m west london home last year….” URL",unverified,training,1,training,training,testting,training,validation
553184482241814530,"i am still confused as to why these ""highly trained"" individuals left their id in the getaway car. #charliehebdo",unverified,training,1,training,training,training,training,training
692838349036326912,"when you spend the whole day thinking it's friday, but it's not... URL",non-rumor,training,2,training,training,training,training,testting
580320684305416192,"accident aircraft looks to be germanwings (airline code 4u or gwi) flight 9525, barcelona to dusseldorf. #4u9525 URL",unverified,training,3,training,validation,training,training,validation
514057033419849728,"alaskan reporter says ""f*ck this,"" quits on live tv in marijuana legalization protest: URL URL",true,training,3,training,training,testting,training,training
693696168908423168,"ex-president of el salvador, francisco flores, dies at 56, government says. URL URL",non-rumor,test,3,training,training,testting,validation,training
550284252672450560,"transgender teen leelah alcorn publishes suicide note on tumblr: ""my death needs to mean something"" URL",unverified,validation,0,training,training,training,training,training
407167258452971520,paul walker mourned by vin diesel and more 'fast & furious' co-stars URL #rippaulwalker URL,true,training,2,test,validation,training,testting,validation
509464457836511232,"apparently microsoft are trying to buy mojang, the creators of minecraft, for around $2 billion... o_o",true,test,1,test,validation,training,training,training
499612545909415938,"nearly 7k blacks were murdered last yr--almost all by other blacks. a tiny % were unarmed-killed-by-cop. where's al, jesse? #tcot #ferguson",unverified,training,2,training,validation,training,testting,training
692892472729415680,the las vegas raiders? URL URL,non-rumor,training,3,training,training,training,training,training
527131140721623040,poster girl for kobane resistance reportedly beheaded. sickening. URL #rehana #kobane URL,unverified,validation,2,training,training,training,training,testting
726043971911213057,"target boycott crosses 1 million signers, stock sinks by $1.5 billion URL",unverified,test,2,training,validation,training,training,training
730939370765754368,ca grand dragon endorses hillary clinton on behalf of the kkk. #trump2016 URL URL,unverified,training,2,training,validation,training,training,training
693806234026188801,teenage girl 'made up' migrant rape claim that caused uproar in germany URL,non-rumor,training,2,training,validation,training,validation,training
692082337333534720,.@potus's reforms to solitary confinement will expand treatment for the mentally ill: URL URL,non-rumor,test,3,training,training,training,validation,training
551117430345711616,news saudi arabia's national airline planning to introduce gender segregation on flights URL URL,false,training,3,test,training,validation,training,training
407161635439013888,"paul walker dies, millions cried. millions died of human hunger, no one simply gives a fk.",true,validation,2,training,training,training,training,testting
561280944045576192,islamic tribunal in texas operating under sharia law♨️wtf is this😡@lodisilverado @amymek #tcot URL URL,false,test,3,training,training,training,training,training
723365789378584578,"landmarks around world turn purple, in honor of #prince. #princerip #purplerain URL",unverified,test,3,training,testting,validation,training,validation
532106726539939841,vladimir putin’s motorcade as seen from the air. URL URL,false,test,2,training,validation,validation,validation,training
689719109785907200,death toll from #bachakhanuniattack rises to at least 19; army official says firing has stopped as campus searched URL,non-rumor,training,2,training,training,training,training,validation
561952533942661120,islamic tribunal in texas operating under sharia law♨️wtf is this😡@lodisilverado @amymek #tcot URL URL,false,training,3,test,validation,validation,training,training
550038665653542913,the president of argentina adopted a jewish teenager to stop him from becoming a werewolf URL URL,false,test,0,training,validation,training,training,training
519348106836860929,"hp confirmed that it's splitting into two companies. and cutting 5,000 jobs. URL $hp URL",true,validation,0,test,training,testting,training,training
387007120689737729,"by all means, let's turn over healthcare decision making to people willing to shut down the amber alert website out of spite.",false,validation,2,training,training,training,training,training
525327108520673281,video: hero sergeant-at-arms kevin vickers returns to parliament - and an incredible welcome URL URL,unverified,training,3,training,training,training,training,training
450341615979069440,"@dangerburgundy: @joerogan what...successful clone of dinosaurs URL  holy shit, is that real?",false,validation,2,training,training,training,training,training
387281927427727360,never thought i’d see the day when obama would play politics with kids. URL #pjnet URL,false,training,2,training,training,validation,training,validation
553503184174710784,#charliehebdo shooting suspects tell police they 'prepared to die as martyrs' - french media URL URL,unverified,training,2,training,training,training,validation,training
524312881823637504,google south american goliath birdeater. helllll noooooo✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋,true,training,2,test,training,training,training,training
510906049549705216,breaking news: isis beheads a british hostage david haines in message to america's partners. URL,true,validation,3,test,training,training,validation,training
550131732805328896,"transgender teen leaves heartbreaking suicide note on tumblr begging us to ""fix society"" URL #leelahalcorn",unverified,training,3,test,training,validation,training,training
693122199536934912,"forty percent of germans want angela merkel to resign over her refugee policy, poll shows: URL URL",non-rumor,training,1,training,validation,validation,training,training
524185876931162112,puppy-sized spider surprises scientist in rainforest @livescience | URL URL,true,validation,1,training,testting,training,testting,training
532284428542681088,"no, vladimir putin did not travel in a phallic motorcade formation URL URL",false,training,3,training,validation,training,training,training
545271117355958272,a texas plumbing company's truck somehow ended up in syria's civil war URL URL,true,training,1,training,training,validation,validation,training
516545908813475841,"#hongkong’s protesters are using the “hands up, don’t shoot” gesture from #ferguson URL URL",unverified,test,3,training,training,validation,validation,validation
407254590363426816,"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report URL",true,test,3,test,validation,training,training,training
524941504796962816,"breaking news photo gallery: parliament hill attacked, soldier shot at national war memorial URL URL",true,validation,3,training,training,training,training,validation
549927969032916993,"a transgender 17-year old left a suicide note on tumblr pleading: ""fix society"" URL URL",unverified,training,3,training,testting,testting,training,testting
692046121250586624,wind and solar could power most of the u.s. by 2030 without raising electricity prices URL URL,non-rumor,validation,2,training,training,training,training,validation
689650617464311813,leonardo dicaprio is giving away $15 million to environmental causes: URL URL,non-rumor,training,1,training,training,training,validation,training
435998882250899456,"what if talking angela is actually boris laursen he be like ""i just stole all your personal information what are you going to do about it""",false,training,3,training,validation,training,training,training
544523550519218176,meet barak hussein obama's appointment for our next assistant director of homeland security: fatima noor URL,unverified,training,2,training,training,testting,testting,training
714531423273746432,an open letter to @realdonaldtrump from his top strategist-turned-defector: URL URL,unverified,test,3,training,training,training,training,training
693595814401327104,make way for leonardo dicaprio. #sagawards ❤ URL,non-rumor,training,2,test,training,training,training,validation
514451906211893248,oregon police officers step in and make delivery after pizza hut driver gets injured in a car crash: URL #odd,true,training,3,training,training,validation,training,training
515519742355185664,vaughn foods co-worker who witnessed murder tells #news9 murder suspect alton nolen was shouting islamic phrases. fbi investigating,true,validation,1,training,training,training,validation,training
